Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$61.00,0.00,0.00%,,United States,,113,,
HZON,Horizon Acquisition Corporation II Class A Ordinary Shares,$9.90,-0.0012,-0.012%,300450427.00,United States,2020,1446,Finance,Business Services
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.91,0.07,1.446%,122416999.00,United States,1985,54616,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$2.82,0.07,2.545%,677839500.00,,2022,708933,,
IBIO,iBio Inc. Common Stock,$0.70,0.008,1.156%,7373570.00,United States,,285678,Health Care,Biotechnology: Pharmaceutical Preparations
ID,PARTS iD Inc. Class A Common Stock,$0.8049,0.0046,0.575%,27458720.00,United States,2017,25557,Consumer Discretionary,Auto Parts:O.E.M.
IDR,Idaho Strategic Resources Inc. Common Stock,$5.64,-0.06,-1.053%,68233115.00,,2022,5425,Basic Materials,Precious Metals
IDW,IDW Media Holdings Class B Common Stock,$1.08,0.0455,4.398%,15205869.00,,2021,26193,Consumer Discretionary,Newspapers/Magazines
IE,Ivanhoe Electric Inc. Common Stock,$13.69,-0.19,-1.369%,1271635597.00,,2022,233667,Basic Materials,Metal Mining
IGC,India Globalization Capital Inc. Common Stock,$0.3901,-0.0299,-7.119%,20701607.00,United States,,205350,Consumer Discretionary,Engineering & Construction
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.71,0.03,1.786%,15590947.00,United States,1999,2506,Real Estate,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$0.3218,0.0115,3.706%,11767252.00,United States,1997,17543,Finance,Finance: Consumer Services
IMO,Imperial Oil Limited Common Stock,$50.79,1.77,3.611%,29669116547.00,Canada,1929,528658,,
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$6.03,0.20,3.431%,61160445.00,,2019,197014,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$9.42,-0.20,-2.079%,194583043.00,United States,,37093,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$4.384,-0.1843,-4.034%,,,2022,2179,Technology,EDP Services
INTT,inTest Corporation Common Stock,$13.32,0.24,1.835%,146825681.00,United States,1997,55741,Technology,Semiconductors
INUV,Inuvo Inc.,$0.3061,-0.0168,-5.203%,36773288.00,United States,,137366,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$11.75,0.00,0.00%,48978865.00,United States,1987,20,Finance,Diversified Financial Services
ISDR,Issuer Direct Corporation Common Stock,$27.99,0.59,2.153%,106110650.00,United States,,863,Technology,Computer Software: Prepackaged Software
ISR,IsoRay Inc. Common Stock (DE),$0.2807,-0.0076,-2.636%,39891053.00,United States,,160914,Health Care,Medical Specialities
ITP,IT Tech Packaging Inc. Common Stock,$0.6517,0.0369,6.002%,7439755.00,China,,43047,Basic Materials,Paper
ITRG,Integra Resources Corp. Common Shares,$0.73,0.024,3.399%,58111602.00,,,64670,,
JOB,GEE Group Inc. Common Stock,$0.5053,-0.0046,-0.902%,57831815.00,United States,1968,245270,Consumer Discretionary,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.31,-0.005,-1.587%,16839227.00,Canada,,17734,,
KNW,Know Labs Inc. Common Stock,$1.32,-0.05,-3.65%,63568477.00,,2022,33636,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$1.25,-0.03,-2.344%,140933234.00,United States,,245542,,
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.44,-0.01,-0.69%,215973140.00,United States,,149985,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$34.11,-0.61,-1.757%,495951077.00,United States,2014,83928,,
LGL,LGL Group Inc. (The) Common Stock,$4.22,-0.27,-6.013%,22589394.00,United States,1946,5096,Technology,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$150.59,-0.78,-0.515%,37445619950.00,United States,2001,2552245,Utilities,Oil/Gas Transmission
LODE,Comstock Inc. Common Stock,$0.5384,0.0331,6.551%,46332221.00,United States,,554612,Finance,Real Estate
LPTV,Loop Media Inc. Common Stock,$6.12,0.14,2.341%,345052999.00,,2022,30535,Industrials,Broadcasting
LSF,Laird Superfood Inc. Common Stock,$1.16,0.00,0.00%,10698242.00,,2020,19682,Consumer Staples,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$15.58,0.10,0.646%,423910627.00,United Kingdom,2012,91288,Industrials,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,$15.31,0.14,0.923%,1512188572.00,Canada,,323509,,
MAIA,MAIA Biotechnology Inc. Common Stock,$4.30,0.29,7.232%,47067387.00,,2022,35528,Health Care,Biotechnology: Pharmaceutical Preparations
MGLD,The Marygold Companies Inc. Common Stock,$1.6216,0.0716,4.619%,63944259.00,,2022,8237,Finance,Finance/Investors Services
MHH,Mastech Digital Inc Common Stock,$13.60,-0.32,-2.299%,158000842.00,United States,,10399,Consumer Discretionary,Professional Services
MIMO,Airspan Networks Holdings Inc. Common Stock,$1.45,0.16,12.403%,107190516.00,,2020,29717,Consumer Discretionary,Telecommunications Equipment
MITQ,Moving iMage Technologies Inc. Common Stock,$1.15,-0.025,-2.128%,12602158.00,United States,2021,24600,Telecommunications,Telecommunications Equipment
MLSS,Milestone Scientific Inc. Common Stock,$0.68,-0.01,-1.449%,47460824.00,United States,2015,13641,Health Care,Industrial Specialties
MNK,Mallinckrodt plc Ordinary Shares,$7.62,-0.13,-1.677%,100362502.00,,2022,13141,Health Care,Biotechnology: Pharmaceutical Preparations
MPTI,M-tron Industries Inc. Common Stock,$10.236,-0.019,-0.185%,27911504.00,,2022,1258,,
MSN,Emerson Radio Corporation Common Stock,$0.5501,-0.0204,-3.576%,11575563.00,United States,1994,11011,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$5.19,0.11,2.165%,233626495.00,,,172337,,
MTMT,Mega Matrix Corp. Common Stock,$1.65,-0.02,-1.198%,43698691.00,United States,1998,27347,Consumer Discretionary,Diversified Commercial Services
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.58,0.0076,1.328%,125781425.00,United States,2017,132094,Health Care,Biotechnology: Pharmaceutical Preparations
MXC,Mexco Energy Corporation Common Stock,$13.77,0.27,2.00%,29597458.00,United States,2003,2711,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$0.44,0.01,2.326%,3104145.00,United States,2017,750276,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.25,-0.0011,-0.438%,132444847.00,Canada,,703657,,
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$0.2701,0.0141,5.508%,8741614.00,United States,,1299376,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$11.37,0.15,1.337%,214246775.00,United States,2002,190737,Finance,Finance/Investors Services
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$9.98,0.15,1.526%,50672622.00,United States,2002,23262,Finance,Finance/Investors Services
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$11.92,0.02,0.168%,66168444.00,United States,2002,41265,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$2.06,-0.19,-8.444%,3865475.00,United States,2007,31365,Health Care,Biotechnology: Pharmaceutical Preparations
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$70.39,-1.08,-1.511%,253039239.00,United States,,1080,Finance,Real Estate
NEWP,New Pacific Metals Corp. Common Shares,$2.55,-0.12,-4.494%,399643079.00,,2021,95488,,
NFGC,New Found Gold Corp Common Shares,$3.77,0.11,3.005%,660774550.00,,2021,204246,,
NG,Novagold Resources Inc.,$6.59,0.10,1.541%,2197041662.00,Canada,2003,1529561,,
NGD,New Gold Inc.,$1.10,0.03,2.804%,750530000.00,Canada,,1955295,,
NHC,National HealthCare Corporation Common Stock,$58.68,0.50,0.859%,900391964.00,United States,1986,42928,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$8.67,0.03,0.347%,168480122.00,United States,,74040,Finance,Trusts Except Educational Religious and Charitable
NHWK,NightHawk Biosciences Inc. Common Stock,$1.175,0.005,0.427%,30152248.00,United States,2022,30427,Health Care,Biotechnology: Pharmaceutical Preparations
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$7.07,0.02,0.284%,400578621.00,,2013,153745,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$1.37,-0.08,-5.517%,15905700.00,United States,,16831,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$3.44,0.01,0.292%,163247973.00,United States,2003,85719,Finance,Finance/Investors Services
NTIP,Network-1 Technologies Inc. Common Stock,$2.23,0.06,2.765%,53280882.00,United States,,1127,Technology,Interactive Media
OBE,Obsidian Energy Ltd. Common Shares,$6.73,0.21,3.221%,554822613.00,,2022,251936,,
OGEN,Oragenics Inc. Common Stock,$0.1434,-0.0066,-4.40%,16842303.00,United States,,774309,Health Care,Biotechnology: Pharmaceutical Preparations
OPTT,Ocean Power Technologies Inc. Common Stock,$0.7567,0.0767,11.279%,42316087.00,United States,2007,600378,Industrials,Industrial Machinery/Components
ORLA,Orla Mining Ltd. Common Shares,$3.99,0.115,2.968%,1218432915.00,,2020,161034,,
OZ,Belpointe PREP LLC Class A Units,$98.09,0.58,0.595%,348656001.00,,,3505,,
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$21.1962,0.4723,2.279%,,United States,,20016,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$19.06,0.00,0.00%,,United States,,26,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$17.694,-0.056,-0.315%,,United States,,288,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$17.5438,0.0438,0.25%,,United States,,454,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$17.4707,-0.0093,-0.053%,,United States,,1621,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$16.50,0.00,0.00%,,United States,,160,,
PED,Pedevco Corp. Common Stock,$1.08,-0.01,-0.917%,92653488.00,United States,,318518,,
PHGE,BiomX Inc. COmmon Stock,$0.2536,-0.0164,-6.074%,7603507.00,,2019,273175,Health Care,Biotechnology: Pharmaceutical Preparations
PLAG,Planet Green Holdings Corp. Common Stock,$0.6381,-0.0319,-4.761%,45995480.00,China,,8332,,
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.59,-0.01,-0.625%,159327613.00,Canada,,356083,,
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$2.64,0.04,1.538%,267883788.00,Canada,,50349,,
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.70,-0.01,-0.585%,86131517.00,Israel,,794988,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$24.99,-0.0029,-0.012%,,United States,,1315,,
POL,Polished Inc. Common Stock,$0.5014,-0.0452,-8.269%,52761257.00,United States,2020,763091,Consumer Discretionary,Other Specialty Stores
PRK,Park National Corporation Common Stock,$137.31,-0.43,-0.312%,2233152582.00,United States,1994,437462,Finance,Major Banks
PTN,Palatin Technologies Inc. Common Stock,$4.38,0.01,0.229%,45350196.00,United States,1999,96383,Health Care,Biotechnology: Pharmaceutical Preparations
PW,Power REIT (MD) Common Stock,$4.71,-0.02,-0.423%,15965303.00,United States,1998,26238,Real Estate,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$15.94,0.34,2.179%,,United States,,863,,
