Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
UEC,Uranium Energy Corp. Common Stock,$3.65,0.05,1.389%,1349781103.00,Canada,,5561592,Basic Materials,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$0.73,-0.0298,-3.922%,8565197.00,United States,2015,12876,Consumer Discretionary,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.17,0.00,0.00%,261057453.00,Canada,,684273,,
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.65,-0.013,-1.961%,124458721.00,,2017,396285,,
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$29.43,-0.26,-0.876%,2118293499.00,United States,2004,222387,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$1.90,-0.33,-14.798%,4394485.00,United States,2003,66120,Technology,Security Systems Services
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$6.51,0.00,0.00%,1026141374.00,,,1048291,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$11.02,-0.06,-0.542%,230942779.00,United States,1993,38871,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.6299,0.0135,2.19%,74521387.00,United States,1986,226776,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,$10.32,0.00,0.00%,103861760.00,,2021,2,Industrials,Consumer Electronics/Appliances
VINE,Fresh Vine Wine Inc. Common Stock,$0.9401,0.0201,2.185%,11969595.00,,2021,7948,Consumer Staples,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.88,0.01,0.113%,394325458.00,United States,1993,271529,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$2.66,0.06,2.308%,153006842.00,Singapore,2015,170772,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VZLA,Vizsla Silver Corp. Common Shares,$1.27,0.03,2.419%,228194619.00,,2022,183079,,
WLMS,Williams Industrial Services Group Inc. Common Stock,$1.03,-0.01,-0.962%,27215444.00,,2021,99128,Industrials,Engineering & Construction
WRN,Western Copper and Gold Corporation Common Stock,$1.86,-0.02,-1.064%,281971330.00,Canada,2011,153598,,
WTT,Wireless Telecom Group  Inc. Common Stock,$1.87,0.02,1.081%,40311124.00,United States,1993,10864,Telecommunications,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$1.045,-0.005,-0.476%,50229683.00,United States,,140148,Basic Materials,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$1.96,0.00,0.00%,17101933.00,United States,,11885,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.6395,0.0124,1.977%,41419694.00,United States,,35406,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.625,0.033,5.574%,67912118.00,United States,,42033,Health Care,Medical Specialities
YCBD,cbdMD Inc. Common Stock,$0.31,0.007,2.31%,18811501.00,United States,2017,215407,Health Care,Biotechnology: Pharmaceutical Preparations
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$4.0999,0.00,0.00%,,United States,,333,,
ZDGE,Zedge Inc. Class B Common Stock ,$2.29,0.00,0.00%,33834260.00,,2016,39964,Technology,Internet and Information Services
ZOM,Zomedica Corp. Common Shares,$0.2818,0.0143,5.346%,276149816.00,United States,2017,13551847,Health Care,Pharmaceuticals and Biotechnology
